"Keyword","Volume","CPC","Competition","Score","Intent"
"shopify developer api","1000","1.37","0.03","53","informational"
"shopify api","1000","1.37","0.03","57","navigational"
"shopify api documentation","880","2.25","0.01","35","informational"
"shopify graphql api","590","","0.01","30","navigational"
"shopify admin api","390","4.79","0.01","57","navigational"
"shopify store api","390","2.20","0.05","22","navigational"
"shopify storefront api","390","2.20","0.05","21","navigational"
"shopify rest api","260","0.85","0.02","36","informational"
"shopify order api","170","","0.01","24","transactional"
"shopify rest api documentation","110","","0.03","","informational"
"shopify-api products","90","","0.00","8","navigational"
"shopify product api","90","","0.00","8","navigational"
"shopify graphql explorer","70","","0.01","0","navigational"
"shopify graphql api documentation","70","","0.00","","informational"
"shopify api integration","50","1.58","0.07","46","informational"
"shopify/shopify api","40","","0.01","57","navigational"
"shopify/shopify-api","40","","0.01","57","navigational"
"shopify admin api access token","30","","0.01","","navigational"
"shopify admin api documentation","30","","0.00","","informational"
"shopify api pricing","20","","0.03","","commercial"
"shopify api graphql","20","","0.00","30","navigational"
"shopify api python","20","","0.04","52","informational"
"shopify analytics api","20","","0.00","","informational"
"shopify order api documentation","20","","0.00","","informational"
"shopify create order api","20","","0.00","54","transactional"
"shopify inventory api","20","","0.00","51","informational"
"shopify admin api graphql","20","","0.00","","navigational"
"shopify order object","20","","0.02","52","navigational"
"shopify api gem","10","","0.00","54","navigational"
"shopify api tutorial","10","","0.00","48","informational"
"shopify api github","10","","0.00","","navigational"
"shopify product api graphql","10","","0.00","","informational"
"shopify products json api","10","","0.04","","informational"
"get products shopify api graphql","10","","0.00","","informational"
"shopify product api example","10","","","","informational"
"shopify api get all products","10","","0.00","","informational"
"shopify admin api products","10","","0.00","","navigational"
"shopify rest api deprecated","10","","0.00","","informational"
"shopify/shopify-api php","10","","0.00","","navigational"
"shopify api documentation order","10","","0.00","","informational"
"shopify api documentation graphql","10","","0.00","","navigational"
"shopify order api graphql","10","","0.00","","navigational"
"shopify order status api","10","","0.00","","informational"
"shopify api get order by order number","10","","","","informational"
"shopify create product api","10","","0.00","","navigational"
"get all products shopify api","10","","0.00","","informational"
"shopify admin api key","10","","0.07","","commercial"
"shopify admin api example","10","","","","informational"
"shopify graphql storefront api","10","","0.06","","navigational"
"shopify graphql api tutorial","10","","","","informational"
"shopify graphql api example","10","","0.00","","informational"
"shopify graphql api postman","10","","0.00","","navigational"
"shopify graphql api version","10","","0.00","","navigational"
"shopify order api example","10","","","","informational"
"shopify update order status api","10","","","","navigational"
"shopify rest api example","10","","","51","informational"
"shopify rest api orders","10","","0.00","","informational"
"shopify rest api tutorial","0","","","","informational"
